url,captures,best_timestamp,statuscode
"http://ic.i.tsatic-cdn.net/1398/635_340/a2764_1398927.jpg","0","",""
"http://ic.i.tsatic-cdn.net/1398/300_449/69900_1398924.jpg","0","",""
"http://ic.i.tsatic-cdn.net/1398/300_200/5b573_1398920.jpg","0","",""
"http://ic.i.tsatic-cdn.net/1398/300_200/d1dd9_1398923.jpg","0","",""
"http://ic.i.tsatic-cdn.net/1398/300_449/3fa0b_1398926.jpg","0","",""
"http://ic.i.tsatic-cdn.net/1526/635_340/ef476_1526472.jpg","2","20160223072334","404"
"http://ic.i.tsatic-cdn.net/1526/635_298/ea30e_1526467.jpg","0","",""
"http://ic.i.tsatic-cdn.net/1526/635_335/cf23f_1526468.jpg","0","",""
"http://ic.i.tsatic-cdn.net/1526/635_365/8d2cd_1526469.jpg","0","",""
"http://images.inthemix.com.au/1734/1734655.jpg","0","",""
"http://images.inthemix.com.au/1734/1734656.jpg","0","",""
"http://images.inthemix.com.au/1734/1734657.jpg","0","",""
"http://images.inthemix.com.au/1734/1734658.jpg","0","",""
"http://images.inthemix.com.au/1734/1734659.jpg","0","",""
"http://images.inthemix.com.au/1569/1569508.jpg","0","",""
"http://images.inthemix.com.au/1569/1569456.jpg","0","",""
"http://images.inthemix.com.au/1569/1569462.jpg","0","",""
"http://images.inthemix.com.au/1569/1569467.jpg","0","",""
"http://images.inthemix.com.au/1569/1569514.jpg","0","",""
"http://images.inthemix.com.au/1569/1569702.jpg","0","",""
